animeID,title,genres
40960,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,"Comedy,Fantasy"
40957,Shin Chuuka Ichiban! 2,"Comedy,Shounen"
40957,Shin Chuuka Ichiban! 2,"Comedy,Shounen"
40956,Enen no Shouboutai: Ni no Shou,"Action,Supernatural,Shounen"
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Drama,Romance"
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Drama,Romance"
40936,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,"Comedy,Romance,School"
40936,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,"Comedy,Romance,School"
40935,Beastars 2nd Season,"Slice of Life,Psychological,Drama,Shounen"
40934,Bungou to Alchemist: Shinpan no Haguruma,"Action,Adventure,Fantasy"
40911,Yuukoku no Moriarty,"Mystery,Historical,Psychological,Shounen"
40911,Yuukoku no Moriarty,"Mystery,Historical,Psychological,Shounen"
40908,Kemono Jihen,"Action,Mystery,Demons,Supernatural,Shounen"
40908,Kemono Jihen,"Action,Mystery,Demons,Supernatural,Shounen"
40907,World Trigger 2,"Action,Sci-Fi,Supernatural,School,Shounen"
40907,World Trigger 2,"Action,Sci-Fi,Supernatural,School,Shounen"
40906,Dragon Quest: Dai no Daibouken (2020),"Action,Adventure,Fantasy,Shounen"
40904,Bokutachi no Remake,Comedy
40902,Shokugeki no Souma: Gou no Sara,"Ecchi,School,Shounen"
40902,Shokugeki no Souma: Gou no Sara,"Ecchi,School,Shounen"
40879,Love Live! Nijigasaki Gakuen School Idol Doukoukai,"Music,Slice of Life,School"
40879,Love Live! Nijigasaki Gakuen School Idol Doukoukai,"Music,Slice of Life,School"
40870,SSSS.Dynazenon,"Action,Sci-Fi,Mecha"
40870,SSSS.Dynazenon,"Action,Sci-Fi,Mecha"
40858,Psycho-Pass 3 Movie: First Inspector,"Action,Sci-Fi,Police,Psychological"
40858,Psycho-Pass 3 Movie: First Inspector,"Action,Sci-Fi,Police,Psychological"
40853,Stand By Me Doraemon 2,"Sci-Fi,Comedy,Kids,Seinen"
40853,Stand By Me Doraemon 2,"Sci-Fi,Comedy,Kids,Seinen"
40852,Dr. Stone: Stone Wars,"Sci-Fi,Adventure,Shounen"
40849,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap,"Action,Adventure,Comedy,Fantasy"
40839,"Kanojo,Okarishimasu","Comedy,Romance,School,Shounen"
40839,"Kanojo,Okarishimasu","Comedy,Romance,School,Shounen"
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Slice of Life,Fantasy"
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Slice of Life,Fantasy"
40814,Seitokai Yakuindomo Movie 2,"Comedy,School,Shounen,Slice of Life"
40814,Seitokai Yakuindomo Movie 2,"Comedy,School,Shounen,Slice of Life"
40807,Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,"Comedy,Romance,School"
40803,Hypnosis Mic: Division Rap Battle - Rhyme Anima,Music
40803,Hypnosis Mic: Division Rap Battle - Rhyme Anima,Music
40787,Josee to Tora to Sakana-tachi,"Slice of Life,Drama,Romance"
40787,Josee to Tora to Sakana-tachi,"Slice of Life,Drama,Romance"
40786,Skate-Leading☆Stars,Sports
40786,Skate-Leading☆Stars,Sports
40783,"Shachou,Battle no Jikan Desu!","Action,Adventure,Fantasy"
40783,"Shachou,Battle no Jikan Desu!","Action,Adventure,Fantasy"
40780,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana Recap,"Action,Fantasy,Police,Vampire"
40776,Haikyuu!!: To the Top 2nd Season,"Comedy,Drama,School,Shounen,Sports"
40776,Haikyuu!!: To the Top 2nd Season,"Comedy,Drama,School,Shounen,Sports"
40769,Rifle Is Beautiful Recap,"Comedy,School,Slice of Life"
40763,Show By Rock!! Mashumairesh!!,"Comedy,Music"
40763,Show By Rock!! Mashumairesh!!,"Comedy,Music"
40762,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana OVA,"Action,Police,Vampire,Fantasy"
40762,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana OVA,"Action,Police,Vampire,Fantasy"
40752,Bishounen Series,"Mystery,School"
40750,Kaifuku Jutsushi no Yarinaoshi,"Ecchi,Fantasy"
40750,Kaifuku Jutsushi no Yarinaoshi,"Ecchi,Fantasy"
40748,Jujutsu Kaisen (TV),"Action,Horror,Demons,Supernatural,School,Shounen"
40748,Jujutsu Kaisen (TV),"Action,Horror,Demons,Supernatural,School,Shounen"
40747,Dounika Naru Hibi,"Slice of Life,Drama,Romance,Yaoi,Yuri"
40746,Overflow,"Romance,Ecchi"
40746,Overflow,"Romance,Ecchi"
40738,Natsunagu!,"Slice of Life,Drama"
40738,Natsunagu!,"Slice of Life,Drama"
40730,Tian Guan Ci Fu,"Action,Adventure,Historical,Supernatural,Drama"
